longitude	latitude	id	name
5,013726337	52,08547469	VR001	Prinses Irenelaan 1
5,083839143	52,03124136	VR002	Prinses Irenelaan 2
5,276179987	52,16207518	VR001	Prinses Irenelaan 3
4,491832359	51,92254156	VR002	Prinses Irenelaan 4
5,360405612	52,22891933	VR001	Prinses Irenelaan 5
5,03000267	52,13564592	VR002	Prinses Irenelaan 6
5,221311928	52,0917195	VR001	Prinses Irenelaan 7
5,38608387	52,24942434	VR002	Prinses Irenelaan 8
5,381599485	52,15520181	VR001	Prinses Irenelaan 9
5,152812356	52,00642389	VR002	Prinses Irenelaan 10
5,137968148	52,02805503	VR001	Prinses Irenelaan 11
5,094150586	52,02614167	VR002	Prinses Irenelaan 12
5,238161297	52,08385758	VR001	Prinses Irenelaan 13
4,476618735	51,92307512	VR002	Prinses Irenelaan 14
5,423669415	52,17786409	VR001	Prinses Irenelaan 15
4,440508075	52,01413325	VR002	Prinses Irenelaan 16
4,440273765	52,01407642	VR001	Prinses Irenelaan 17
4,335567931	52,04353485	VR002	Prinses Irenelaan 18
5,122815393	51,99055981	VR001	Prinses Irenelaan 19
4,491059365	51,90065006	VR002	Prinses Irenelaan 20
5,357908814	52,16673327	VR001	Prinses Irenelaan 21
5,121458631	52,05022983	VR002	Prinses Irenelaan 22
4,370494685	51,75497901	VR001	Prinses Irenelaan 23
5,249929999	52,09341027	VR002	Prinses Irenelaan 24
5,355106715	52,15832476	VR001	Prinses Irenelaan 25
4,618411386	52,33570965	VR002	Prinses Irenelaan 26
5,367228814	52,21775126	VR001	Prinses Irenelaan 27
5,240280786	52,08184563	VR002	Prinses Irenelaan 28
5,313304127	51,9708714	VR001	Prinses Irenelaan 29
5,386361518	52,15157585	VR002	Prinses Irenelaan 30
4,615454892	51,87934367	VR001	Prinses Irenelaan 31
5,061443738	52,19888145	VR002	Prinses Irenelaan 32
4,493273281	52,0018648	VR001	Prinses Irenelaan 33
4,506764431	51,86199536	VR002	Prinses Irenelaan 34
4,415292172	52,02371736	VR001	Prinses Irenelaan 35
4,415259199	52,02392758	VR002	Prinses Irenelaan 36
4,415430129	52,02377677	VR001	Prinses Irenelaan 37
4,41515374	52,02382742	VR002	Prinses Irenelaan 38
5,274134446	52,17995632	VR001	Prinses Irenelaan 39
4,535576926	51,84940744	VR002	Prinses Irenelaan 40
5,044832001	52,13038373	VR001	Prinses Irenelaan 41
